date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:04	2276/2276	---M--	200	added ('OK')	image/png	etag:%2261556a16-e03%22	https://templates.envytheme.com/traip/default/assets/images/logo-default-color.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/logo-default-color.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	48420/48420	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:53%20GMT	https://templates.envytheme.com/traip/default/authentication.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/authentication.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	48732/48732	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/cart.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/cart.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	137596/137596	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/index-2.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/index-2.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	90258/90258	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/index-3.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/index-3.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:05	82556/82556	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:53%20GMT	https://templates.envytheme.com/traip/default/about-us.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/about-us.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	51418/51418	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/faqs.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/faqs.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	46476/46476	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/get-in-touch.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/get-in-touch.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	60478/60478	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/products.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/products.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	64953/64953	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/single-product.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/single-product.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:06	57189/57189	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/checkout.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/checkout.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:07	46033/46033	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:57%20GMT	https://templates.envytheme.com/traip/default/wishlist.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/wishlist.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:07	60687/60687	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/hotels.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/hotels.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:07	47397/47397	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/single-hotel.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/single-hotel.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:07	54941/54941	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:57%20GMT	https://templates.envytheme.com/traip/default/team.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/team.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:08	66744/66744	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:57%20GMT	https://templates.envytheme.com/traip/default/who-we-are.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/who-we-are.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:08	43011/43011	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/forget-password.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/forget-password.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:08	48942/48942	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/my-account.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/my-account.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:08	46332/46332	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/my-orders.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/my-orders.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:08	48271/48271	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:55%20GMT	https://templates.envytheme.com/traip/default/my-addresses.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/my-addresses.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:09	42510/42510	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:53%20GMT	https://templates.envytheme.com/traip/default/404.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/404.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:09	5552/5552	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/coming-soon-page.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/coming-soon-page.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:09	46829/46829	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:57%20GMT	https://templates.envytheme.com/traip/default/terms-conditions.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/terms-conditions.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:09	47125/47125	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/privacy-policy.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/privacy-policy.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:09	53575/53575	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/search-page.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/search-page.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:10	66861/66861	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/destination.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/destination.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:10	53344/53344	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/single-destination.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/single-destination.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:10	57860/57860	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:57%20GMT	https://templates.envytheme.com/traip/default/tour.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/tour.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:10	47134/47134	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:57%20GMT	https://templates.envytheme.com/traip/default/single-tour.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/single-tour.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:11	57406/57406	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/blogs-two-column.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/blogs-two-column.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:11	53853/53853	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:53%20GMT	https://templates.envytheme.com/traip/default/blogs-full.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/blogs-full.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:11	66808/66808	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:56%20GMT	https://templates.envytheme.com/traip/default/single-blog.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/single-blog.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:11	49968/49968	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2007:40:54%20GMT	https://templates.envytheme.com/traip/default/contact.html	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/contact.html	(from https://templates.envytheme.com/traip/default/index.html)
10:45:11	145867/145867	---M--	200	added ('OK')	image/png	etag:%2261556a4a-60e41%22	https://templates.envytheme.com/traip/default/assets/images/shapes/map-1.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/shapes/map-1.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:12	56518/56518	---M--	200	added ('OK')	image/png	etag:%2261556a4a-24fea%22	https://templates.envytheme.com/traip/default/assets/images/shapes/map-2.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/shapes/map-2.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:12	69763/69763	---M--	200	added ('OK')	image/jpeg	etag:%2261556a35-1108b%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-1.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-1.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:12	76931/76931	---M--	200	added ('OK')	image/jpeg	etag:%2261556a35-12c8b%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-2.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-2.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:12	120477/120477	---M--	200	added ('OK')	image/jpeg	etag:%2261556a35-1d6a5%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-3.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-3.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:13	58112/58112	---M--	200	added ('OK')	image/jpeg	etag:%2261556a35-e308%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-4.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-4.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:13	33762/33762	---M--	200	added ('OK')	image/jpeg	etag:%2261556a36-83ea%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-5.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-5.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:13	89641/89641	---M--	200	added ('OK')	image/jpeg	etag:%2261556a36-16c25%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-6.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-6.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:13	155675/155675	---M--	200	added ('OK')	image/jpeg	etag:%2261556a36-26023%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-7.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-7.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:13	95950/95950	---M--	200	added ('OK')	image/jpeg	etag:%2261556a36-176d6%22	https://templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-8.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/holiday/holiday-place-8.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:14	19997/19997	---M--	200	added ('OK')	image/png	etag:%2261556a4a-4e1d%22	https://templates.envytheme.com/traip/default/assets/images/shapes/compass.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/shapes/compass.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:14	203303/203303	---M--	200	added ('OK')	image/png	etag:%2261556a18-31a27%22	https://templates.envytheme.com/traip/default/assets/images/tour-about.png	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/tour-about.png	(from https://templates.envytheme.com/traip/default/index.html)
10:45:14	74926/74926	---M--	200	added ('OK')	image/jpeg	etag:%2261556a47-124b6%22	https://templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-1.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-1.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:14	86568/86568	---M--	200	added ('OK')	image/jpeg	etag:%2261556a47-15230%22	https://templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-2.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-2.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:15	55644/55644	---M--	200	added ('OK')	image/jpeg	etag:%2261556a47-d964%22	https://templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-3.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-3.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:15	42892/42892	---M--	200	added ('OK')	image/jpeg	etag:%2261556a47-a794%22	https://templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-4.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-4.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:15	76863/76863	---M--	200	added ('OK')	image/jpeg	etag:%2261556a47-12c47%22	https://templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-5.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-5.jpg	(from https://templates.envytheme.com/traip/default/index.html)
10:45:15	64362/64362	---M--	200	added ('OK')	image/jpeg	etag:%2261556a47-fb72%22	https://templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-6.jpg	C:/Users/duytu/OneDrive/Desktop/Project/Project_TrvelBooking/templates.envytheme.com/traip/default/assets/images/popular-package/popular-package-6.jpg	(from https://templates.envytheme.com/traip/default/index.html)
